ref_prompt,output_prompt,match,index
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,0
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,1
deductible_with_coverage.yaml,subdeductible_with_coverage.yaml,False,2
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,3
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,4
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,5
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,6
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,7
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,8
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,9
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,10
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,11
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,12
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,13
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,14
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,15
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,16
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,17
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,18
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,19
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,20
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,21
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,22
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,23
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,24
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,25
subdeductible_with_auto_coverage.yaml,subdeductible_with_auto_coverage.yaml,True,26
deductible_with_auto_coverage.yaml,deductible_with_auto_coverage.yaml,True,27
single_subdeductible_with_coverage.yaml,single_subdeductible_with_coverage.yaml,True,28
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,29
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,30
