file_name,page_num,lob,policy_type,sub_element_name,prompt_name,prompt_output,note
1090boi202507311215013005_CT.pdf,17,Boiler & Machinery,MSD,limits,limits_with_coverage.yaml,1090boi202507311215013005_CT_17.json,master prompt (basic)
1138ilm202507291909089_CT.pdf,13,Inland Marine,SSD,limits,alternate_limits_with_auto_coverage.yaml,1138ilm202507291909089_CT_13.json,"master prompt (basic) â€“ added â€œinsured valueâ€  limits amount header | added ""make & model"" in coverage"
1018aut202505310536405_CT.PDF,22,Business Auto,MSD,limits,alternate_limits_with_coverage.yaml,1018aut202505310536405_CT_limit_22.json,
1142cbl202507311639099_CT.pdf,4,Cyber Liability,MSD,limits,limits_with_coverage.yaml,1142cbl202507311639099_CT_4.json,master prompt (basic)
1090cbl202507312106066004_CT.pdf,48,Cyber Liability,MSD,limits,sublimits_with_coverage.yaml,1090cbl202507312106066004_CT_48.json,Validated
1090cbl202507312106066004_CT.pdf,3,Cyber Liability,MSD,limits,sublimits_with_coverage.yaml,1090cbl202507312106066004_CT_3.json,Validated
1090cbl202507312106066004_CT.pdf,2,Cyber Liability,MSD,limits,sublimits_with_coverage.yaml,1090cbl202507312106066004_CT_2.json,Validated
1138ilm202507291909089_CT.pdf,61,Inland Marine,SSD,limits,alternate_limits_with_auto_coverage.yaml,1138ilm202507291909089_CT_61.json,"master prompt (basic) â€“ added â€œinsured valueâ€  limits amount header | added ""make & model"" in coverage"
1138ilm202507291909089_CT.pdf,58,Inland Marine,SSD,limits,alternate_limits_with_auto_coverage.yaml,1138ilm202507291909089_CT_58.json,"master prompt (basic) â€“ added â€œinsured valueâ€  limits amount header | added ""make & model"" in coverage"
1090boi202507311215013005_CT.pdf,16,Boiler & Machinery,MSD,limits,limits_with_coverage.yaml,1090boi202507311215013005_CT_16.json,master prompt (basic)
1018aut202505310536405_CT.PDF,15,Business Auto,MSD,limits,cost_new_limit_with_vin_coverage.yaml,1018aut202505310536405_CT-15.json,
1018aut202505310536405_CT.PDF,16,Business Auto,MSD,limits,cost_new_limit_with_vin_coverage.yaml,1018aut202505310536405_CT-16.json,
1018aut202505310536405_CT.PDF,17,Business Auto,MSD,limits,cost_new_limit_with_vin_coverage.yaml,1018aut202505310536405_CT-17.json,
1018aut202505310536405_CT.PDF,22,Business Auto,MSD,limits,alternate_limits_with_coverage.yaml,1018aut202505310536405_CT-22.json,
1018aut202505310536405_CT.PDF,76,Business Auto,MSD,limits,sublimits_with_coverage.yaml,1018aut202505310536405_CT-76.json,Validated
1090csr1202505062125209003_CT.pdf,73,Business Auto,SSD,limits,alternate_limits_with_coverage.yaml,1090csr1202505062125209003_CT-73.json,
1090csr1202505062125209003_CT.pdf,78,Business Auto,SSD,limits,alternate_limits_with_coverage.yaml,1090csr1202505062125209003_CT-78.json,
1090csr1202505062125209003_CT.pdf,476,Business Auto,SSD,limits,sublimits_with_coverage.yaml,1090csr1202505062125209003_CT-476.json,Validated
