ref_prompt,output_prompt,match,index
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,0
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,1
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,2
test_sublimits.yaml,test_sublimits.yaml,True,3
test_sublimits.yaml,test_sublimits.yaml,True,4
alternate_limits_with_coverage.yaml,alternate_limits_with_coverage.yaml,True,5
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,6
alternate_limits_with_coverage.yaml,alternate_limits_with_coverage.yaml,True,7
alternate_limits_with_coverage.yaml,alternate_limits_with_coverage.yaml,True,8
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,9
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,10
limits_with_coverage.yaml,limits_with_coverage.yaml,True,11
limits_with_coverage.yaml,limits_with_coverage.yaml,True,12
limits_with_coverage.yaml,limits_with_coverage.yaml,True,13
limits_with_coverage.yaml,limits_with_coverage.yaml,True,14
limits_with_coverage.yaml,limits_with_coverage.yaml,True,15
limits_with_coverage.yaml,limits_with_coverage.yaml,True,16
limits_with_coverage.yaml,limits_with_coverage.yaml,True,17
limits_with_coverage.yaml,limits_with_coverage.yaml,True,18
limits_with_coverage.yaml,limits_with_coverage.yaml,True,19
limits_with_coverage.yaml,limits_with_coverage.yaml,True,20
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,21
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,22
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,23
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,24
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,25
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,26
cost_new_with_vin_only.yaml,cost_new_with_vin_only.yaml,True,27
cost_new_with_vin_only.yaml,cost_new_with_vin_only.yaml,True,28
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,29
limits_with_coverage.yaml,limits_with_coverage.yaml,True,30
limits_with_coverage.yaml,limits_with_coverage.yaml,True,31
limits_with_coverage.yaml,limits_with_coverage.yaml,True,32
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,33
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,34
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,35
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,36
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,37
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,38
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,39
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,40
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,41
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,42
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,43
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,44
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,45
section_limits_with_coverage.yaml,section_limits_with_coverage.yaml,True,46
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,47
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,48
alternate_limits_with_coverage.yaml,alternate_limits_with_coverage.yaml,True,49
limits_with_coverage.yaml,limits_with_coverage.yaml,True,50
alternate_limits_with_coverage.yaml,alternate_limits_with_coverage.yaml,True,51
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,52
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,53
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,54
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,55
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,56
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,57
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,58
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,59
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,60
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,61
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,62
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,63
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,64
underlying_sublimits_with_coverage.yaml,underlying_sublimits_with_coverage.yaml,True,65
limits_with_coverage.yaml,limits_with_coverage.yaml,True,66
limits_with_coverage.yaml,limits_with_coverage.yaml,True,67
cost_new_with_vin_only.yaml,cost_new_with_vin_only.yaml,True,68
cost_new_with_vin_only.yaml,cost_new_with_vin_only.yaml,True,69
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,70
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,71
cost_new_with_vin_only.yaml,cost_new_with_vin_only.yaml,True,72
cost_new_with_vin_only.yaml,cost_new_with_vin_only.yaml,True,73
underlying_sublimits_with_coverage.yaml,cost_new_with_vin_only.yaml,False,74
stated_amt_with_coverage.yaml,stated_amt_with_coverage.yaml,True,75
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,76
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,77
align_sublimits_with_coverage.yaml,align_sublimits_with_coverage.yaml,True,78
align_sublimits_with_coverage.yaml,align_sublimits_with_coverage.yaml,True,79
cost_new_sublimits_with_vin_coverage.yaml,cost_new_sublimits_with_vin_coverage.yaml,True,80
cost_new_sublimits_with_vin_coverage.yaml,cost_new_sublimits_with_vin_coverage.yaml,True,81
limits_with_flood_coverage.yaml,limits_with_flood_coverage.yaml,True,82
limits_with_flood_coverage.yaml,limits_with_flood_coverage.yaml,True,83
limits_with_flood_coverage.yaml,limits_with_flood_coverage.yaml,True,84
cost_new_limit_with_vin_coverage.yaml,cost_new_limit_with_vin_coverage.yaml,True,85
limits_with_coverage.yaml,limits_with_coverage.yaml,True,86
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,87
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,88
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,89
sublimits_with_coverage.yaml,sublimits_with_coverage.yaml,True,90
